机构简称,机构全称,成立时间,外方机构,外方机构基金名称,外方持股比例,中方机构,中方持股比例,,
元胜,元胜投资管理（上海）有限公司,3/26/12,Winton Group,元胜,100%,,,,
毕盛,毕盛（上海）投资管理有限公司,11/18/02,APS Asset Management,毕盛,100%,,,,
瀚亚,瀚亚投资管理（上海）有限公司,3/5/18,Eastspring Investments,瀚亚,100%,,,,
未来益财,未来益财股权投资管理（上海）有限公司,3/14/18,Mirae Asset Global Investments,未来益财,100%,,,,
联博汇智,联博汇智（上海）投资管理有限公司,12/14/15,AllianceBernstein,联博汇智,100%,,,,
安联,安联寰通资产管理 (上海) 有限公司,1/26/18,Allianz,安联,100%,,,,
德劭,德劭投资管理（上海）有限公司,2/24/10,D. E. Shaw,德劭,100%,,,,
罗素,罗素投资管理（上海）有限公司,3/31/15,Russell Investments,罗素,100%,,,,
弘收,弘收投资管理（上海）有限公司,10/11/17,Income Partners Asset Management,弘收,100%,,,,
威廉欧奈尔,威廉欧奈尔投资管理（上海）有限公司,6/10/19,William O'Neil,威廉欧奈尔,100%,,,,
鲍尔赛嘉,鲍尔赛嘉（上海）投资管理有限公司,4/15/19,Power Corporation,鲍尔赛嘉,100%,,,,
迈德瑞,迈德瑞投资管理（珠海横琴）有限公司,3/26/19,Metori Capital Management,迈德瑞,100%,,,,
柏基,柏基投资管理（上海）有限公司,5/30/19,Baillie Gifford,柏基,100%,,,,
首奕,上海首奕投资管理有限公司,5/23/19,iFAST Financial,首奕,100%,,,,
韩华,韩华投资管理有限公司,10/21/16,Hanwha Asset Management,韩华,100%,,,,
润晖,润晖投资管理（天津）有限公司,10/8/18,Cephei Capital Management,润晖,100%,,,,
荷宝,荷宝私募基金管理（上海）有限公司,7/12/19,Robeco,荷宝,100%,,,,
澳帝桦,澳帝桦私募基金管理（上海）有限公司,10/28/20,Optiver,澳帝桦,100%,,,,
